,Shorthand,Type,Video,Y (long),X (short),All sizes taken from ADJUSTEDCROPPED videos
trackmaterun-190321nice3,GFP11,mtGFP,,46.811,14.753,615.274
trackmaterun-bigcellmanymitos2,GFP1,mtGFP,,51.739,10.831,546.017
trackmaterun-manycells120-bonuscell,GFP2,mtGFP,,55.943,13.218,737.903
trackmaterun-090421ok1,GFP12,mtGFP,,58.878,20.569,1113.034
trackmaterun-nice120,GFP3,mtGFP,,117.607,30.4,3224.905
trackmaterun-190321nice2,GFP13,mtGFP,,47.929,17.458,785.032
trackmaterun-goodvid120,GFP4,mtGFP,,77.805,16.317,1202.689
trackmaterun-020421,GFP14,mtGFP,,84.412,22.708,1722.055
trackmaterun-manycells120-recrop,GFP5,mtGFP,,85.229,20.128,1590.431
trackmaterun-onefourzoom,GFP6,mtGFP,,68.249,18.123,1125.252
trackmaterun-300119,GFP7,mtGFP,,71.925,15.476,941.633
trackmaterun-090421ok2,GFP15,mtGFP,,42.128,20.485,682.466
trackmaterun-190321nice1,GFP16,mtGFP,,81.775,27.883,2007.786
trackmaterun-bigcellmanymitos,GFP8,mtGFP,,117.777,23.93,2697.122
trackmaterun-singlecell120,GFP9,mtGFP,,75.242,20.575,1313.068
trackmaterun-190321bit,GFP17,mtGFP,,89.305,21.8,1968.255
trackmaterun-031219,GFP10,mtGFP,,89.531,16.445,1504.609
trackmaterun-090421nice,GFP18,mtGFP,,89.388,26.008,2000.552
trackmaterun-msh1_11-cell1,MSH1,mtGFP-msh1,trackmaterun-msh1_11-cell1 C2-msh1-smallcells-ADJUSTEDCROPPED-cell1_Tracks-0_8-6-4-5-2.xml.csv,59.535,12.326,804.406
trackmaterun-Msh1_2-cell1,MSH2,mtGFP-msh1,trackmaterun-Msh1_2-cell1 C2-msh1bitjumpy2ADJUSTEDCROPPED-cell1_Tracks_1_4_4_5_2.xml.csv,74.995,21.727,1422.019
