"firstframe","t1","t2"
1,1,2
1,5,7
1,5,12
1,8,16
1,8,18
1,9,29
1,9,65
1,12,65
1,13,17
1,15,64
1,16,18
1,21,22
1,21,24
1,21,25
1,21,31
1,22,24
1,22,31
1,24,31
1,29,65
1,30,32
1,31,33
1,34,35
1,37,41
1,38,57
1,43,44
1,44,45
1,44,50
1,45,50
1,46,51
1,46,55
1,48,50
1,51,54
1,51,55
1,53,55
1,54,55
1,56,57
2,2,24
2,2,25
2,3,4
2,9,10
2,9,12
2,10,12
2,10,65
2,14,15
2,14,64
2,20,27
2,22,25
2,24,25
2,37,66
2,41,66
3,46,49
3,47,58
3,51,53
3,53,54
4,3,30
4,3,32
4,5,10
4,6,11
4,11,19
4,12,14
4,12,15
4,38,56
4,43,48
4,46,47
4,46,59
4,47,59
5,5,9
5,5,62
5,7,62
5,10,29
5,23,28
5,26,63
5,33,60
6,1,63
6,10,28
6,25,26
6,28,29
6,31,60
7,44,48
7,45,48
8,7,9
8,34,51
8,34,54
8,51,57
8,54,57
9,10,69
9,28,68
9,28,69
9,29,69
12,7,10
12,11,71
12,12,29
12,14,48
12,15,48
12,21,72
12,21,74
12,22,72
12,22,74
12,23,29
12,24,72
12,24,74
12,31,70
12,72,74
13,4,74
13,12,16
13,22,70
13,23,75
13,44,78
13,44,79
13,46,80
13,51,80
13,54,80
13,76,77
13,78,79
14,12,28
14,14,16
14,14,78
14,15,16
14,15,78
14,16,78
14,22,77
14,31,72
14,31,77
14,46,54
14,49,80
15,1,76
15,8,14
15,14,18
15,24,77
15,31,74
15,35,38
17,4,81
17,21,77
17,29,68
17,74,77
18,1,70
18,28,78
18,52,86
18,68,75
19,4,31
19,15,79
19,16,28
19,23,92
19,35,93
19,38,93
19,51,94
19,51,95
19,67,90
19,94,95
20,1,96
20,4,24
20,15,44
20,37,102
20,39,56
20,49,51
20,59,101
20,72,77
20,75,92
20,82,103
21,4,77
21,11,99
21,37,82
21,45,98
21,46,101
21,48,98
21,50,98
21,70,72
21,70,77
21,94,102
22,4,21
22,18,19
22,103,105
23,4,22
23,16,108
23,28,108
23,31,76
23,36,91
23,72,76
23,80,101
24,16,50
24,22,97
24,59,80
24,100,107
25,4,97
25,8,19
25,14,19
25,15,28
25,15,108
25,21,97
25,24,97
25,51,101
26,1,72
26,4,109
26,16,19
26,21,109
26,22,110
26,24,110
26,31,110
26,36,104
26,44,111
26,48,111
26,67,91
26,67,104
26,78,111
26,97,110
27,11,112
27,36,67
27,67,84
27,84,91
27,85,101
27,90,104
28,19,108
28,52,113
28,59,85
28,97,109
29,11,107
29,14,108
29,24,109
29,35,39
29,36,84
29,38,39
29,39,93
29,45,111
29,81,114
30,39,91
30,49,93
30,93,95
31,49,95
31,67,103
32,37,118
32,44,120
32,48,120
32,50,120
32,94,117
32,103,104
32,107,115
32,118,121
33,9,125
33,10,125
33,24,123
33,29,125
33,31,123
33,100,129
34,14,125
34,35,49
34,36,38
34,36,39
34,38,49
34,39,49
34,103,127
34,108,125
34,112,126
35,67,130
35,90,103
35,94,128
35,110,123
35,122,131
36,7,135
36,9,135
36,10,135
36,24,70
36,29,135
36,70,123
36,132,134
37,35,95
37,37,94
37,39,95
37,70,110
37,117,128
37,132,136
37,132,139
37,134,136
38,67,121
38,70,124
38,97,137
38,108,135
38,110,124
38,123,124
39,36,95
39,38,95
39,117,376
40,84,95
40,110,139
40,124,139
41,97,143
41,115,140
41,118,145
41,124,143
41,134,144
42,11,148
42,118,147
42,130,146
42,139,143
42,145,147
43,29,108
43,37,145
43,51,152
43,146,151
44,11,140
44,67,131
44,107,140
44,115,148
44,121,147
45,39,51
46,14,159
46,16,159
46,40,374
46,51,158
46,104,131
46,112,155
46,152,158
47,16,138
47,37,160
47,124,136
47,138,159
48,37,147
48,94,160
48,159,161
49,7,29
49,11,155
49,15,161
49,28,161
49,138,161
49,140,155
49,143,162
50,9,108
50,37,84
50,38,158
50,39,158
50,84,147
50,95,158
50,97,139
50,116,154
50,150,163
51,38,164
51,39,164
51,51,164
51,158,164
52,94,147
53,51,163
53,56,84
53,104,121
53,107,148
53,113,169
53,163,164
54,38,171
54,113,166
54,166,169
55,7,108
55,36,56
55,36,173
55,38,177
55,52,138
55,52,161
55,95,177
55,107,113
55,136,178
55,165,179
55,167,175
55,168,169
55,172,178
56,16,52
56,37,173
56,39,177
56,107,166
56,158,177
57,7,14
57,7,125
57,40,163
57,56,176
57,108,184
57,113,115
57,163,181
57,164,180
57,164,181
57,166,174
57,180,181
57,180,185
58,15,168
58,28,168
58,36,147
58,36,167
58,39,163
58,52,168
58,84,158
58,107,174
58,107,182
58,164,185
58,167,173
58,175,177
58,181,185
59,36,158
59,36,177
59,84,177
59,113,182
59,128,376
59,167,176
60,15,52
60,28,52
60,40,164
60,56,173
