"frame","mean.min.dist","mean.degree","sd.degree","max.degree","diameter","betweenness","efficiency","num.edges","num.vertices","cc.num","cc.mean.size","cc.max.size","singletons"
1,1.61601447782865,1.22033898305085,1.16067454540481,4,4,0.593220338983051,0.0278589518799922,36,59,31,1.90322580645161,6,19
2,1.52080772060763,1.66666666666667,1.36128885422337,5,4,0.833333333333333,0.0371939736346516,50,60,26,2.30769230769231,8,13
3,1.53206844298614,1.74193548387097,1.37823222330027,5,4,0.870967741935484,0.0372818614489688,54,62,26,2.38461538461538,8,12
4,1.49773038641502,2.0952380952381,1.44483826212024,6,4,1.76190476190476,0.0498378562894692,66,63,21,3,10,9
5,1.38001248825587,2.21212121212121,1.45194989863924,6,5,2.07575757575758,0.0508313908313908,73,66,20,3.3,11,6
6,1.47594636805101,2.36363636363636,1.50523561801276,6,5,3.07575757575758,0.0593706293706294,78,66,18,3.66666666666667,13,6
7,1.75392119138287,2.42424242424242,1.52981251803165,6,5,3.04545454545455,0.0598368298368298,80,66,18,3.66666666666667,13,6
8,1.8854902355385,2.57575757575758,1.63670030206751,6,5,4.51515151515152,0.0697125097125097,85,66,16,4.125,14,6
9,1.80520385796778,2.61764705882353,1.70188141513598,7,5,5.02941176470588,0.071180860403863,89,68,16,4.25,15,6
10,1.79584113274267,2.57971014492754,1.71846200989559,7,5,4.95652173913043,0.0691176470588235,89,69,17,4.05882352941176,15,7
11,1.87279355041788,2.57971014492754,1.71846200989559,7,5,4.95652173913043,0.0691176470588235,89,69,17,4.05882352941176,15,7
12,1.73733836466635,2.78378378378378,2.0154898127966,8,6,8.02702702702703,0.0771689497716895,103,74,17,4.35294117647059,20,8
13,1.50369031333693,2.74698795180723,2.12902917010786,8,7,14.1204819277108,0.0806417306858094,114,83,19,4.36842105263158,26,11
14,1.5581052435469,3.01204819277108,2.36072527044703,9,7,13.4819277108434,0.0888438772511649,125,83,18,4.61111111111111,26,11
15,1.58904861781025,3.1566265060241,2.43692092664155,9,7,12.8795180722892,0.0911016889859088,131,83,18,4.61111111111111,26,11
16,1.85911162117331,3.1566265060241,2.43692092664155,9,7,12.8795180722892,0.0911016889859088,131,83,18,4.61111111111111,26,11
17,1.77664461596967,3.10344827586207,2.51984902998601,9,7,12.6781609195402,0.0853966981072033,135,87,21,4.14285714285714,26,14
18,1.78517300954506,3.12359550561798,2.52631704948627,9,7,11.6067415730337,0.0837127292183472,139,89,22,4.04545454545455,26,14
19,1.48536057407195,3.13684210526316,2.59545644866788,10,6,11.9368421052632,0.0815192235908921,149,95,23,4.1304347826087,27,14
20,1.51391157133951,3.0873786407767,2.66828429900632,10,6,12.0873786407767,0.0747223808617298,159,103,26,3.96153846153846,27,16
21,1.51529549895393,3.25,2.71904466375511,10,8,17.125,0.0822164283936129,169,104,23,4.52173913043478,28,15
