"traj.time","traj.degree","traj.rate"
30,6,0.2
8,3,0.375
11,3,0.272727272727273
27,10,0.37037037037037
10,5,0.5
5,1,0.2
57,9,0.157894736842105
34,4,0.117647058823529
49,9,0.183673469387755
107,20,0.186915887850467
79,12,0.151898734177215
30,9,0.3
59,1,0.0169491525423729
109,24,0.220183486238532
118,16,0.135593220338983
65,14,0.215384615384615
4,1,0.25
25,4,0.16
28,6,0.214285714285714
12,1,0.0833333333333333
26,10,0.384615384615385
27,11,0.407407407407407
24,4,0.166666666666667
38,14,0.368421052631579
6,5,0.833333333333333
6,2,0.333333333333333
6,1,0.166666666666667
64,15,0.234375
47,12,0.25531914893617
6,2,0.333333333333333
33,13,0.393939393939394
7,2,0.285714285714286
6,2,0.333333333333333
10,3,0.3
40,6,0.15
104,25,0.240384615384615
58,11,0.189655172413793
55,12,0.218181818181818
74,14,0.189189189189189
119,11,0.092436974789916
7,2,0.285714285714286
3,0,0
9,2,0.222222222222222
37,9,0.243243243243243
29,5,0.172413793103448
24,8,0.333333333333333
9,3,0.333333333333333
96,10,0.104166666666667
35,8,0.228571428571429
38,6,0.157894736842105
61,16,0.262295081967213
74,12,0.162162162162162
3,3,1
14,7,0.5
7,4,0.571428571428571
85,15,0.176470588235294
14,4,0.285714285714286
7,1,0.142857142857143
27,5,0.185185185185185
5,2,0.4
3,0,0
2,2,1
2,2,1
2,2,1
2,4,2
2,2,1
74,17,0.22972972972973
17,3,0.176470588235294
2,3,1.5
34,9,0.264705882352941
4,1,0.25
14,9,0.642857142857143
18,0,0
6,7,1.16666666666667
9,3,0.333333333333333
11,4,0.363636363636364
15,9,0.6
14,7,0.5
8,3,0.375
17,6,0.352941176470588
17,2,0.117647058823529
10,2,0.2
9,0,0
97,21,0.216494845360825
20,2,0.1
2,1,0.5
2,0,0
2,0,0
2,0,0
19,3,0.157894736842105
12,4,0.333333333333333
5,2,0.4
12,5,0.416666666666667
37,8,0.216216216216216
52,12,0.230769230769231
7,1,0.142857142857143
60,11,0.183333333333333
4,3,0.75
5,1,0.2
20,2,0.1
18,5,0.277777777777778
3,2,0.666666666666667
19,6,0.315789473684211
36,6,0.166666666666667
7,1,0.142857142857143
2,0,0
47,11,0.234042553191489
68,17,0.25
9,4,0.444444444444444
59,13,0.220338983050847
4,4,1
20,3,0.15
50,9,0.18
4,1,0.25
88,15,0.170454545454545
61,3,0.0491803278688525
27,3,0.111111111111111
12,4,0.333333333333333
9,0,0
8,3,0.375
30,4,0.133333333333333
5,1,0.2
6,5,0.833333333333333
87,16,0.183908045977011
58,11,0.189655172413793
5,1,0.2
2,1,0.5
61,12,0.19672131147541
5,1,0.2
9,2,0.222222222222222
23,3,0.130434782608696
3,3,1
3,0,0
13,3,0.230769230769231
5,5,1
20,4,0.2
13,1,0.0769230769230769
37,8,0.216216216216216
20,5,0.25
15,4,0.266666666666667
3,0,0
52,17,0.326923076923077
11,4,0.363636363636364
4,1,0.25
64,20,0.3125
2,2,1
17,7,0.411764705882353
78,14,0.179487179487179
5,0,0
6,1,0.166666666666667
5,1,0.2
4,2,0.5
6,0,0
14,1,0.0714285714285714
31,5,0.161290322580645
2,0,0
2,0,0
21,13,0.619047619047619
72,20,0.277777777777778
64,19,0.296875
8,5,0.625
30,3,0.1
12,6,0.5
17,10,0.588235294117647
56,12,0.214285714285714
