 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.042	37.867	18	1	87	39.460	568
2	1.112	21.312	0	0	74	23.690	341
3	1.251	18.111	2	1	47	22.648	326
4	0.556	43.625	15	15	84	24.246	349
5	1.112	42.688	8	5	106	47.450	683
6	0.903	36.692	26	8	67	33.138	477
7	0.695	25.500	9	2	56	17.715	255
8	0.834	39.000	22	13	89	32.513	468
9	0.903	36.615	4	4	80	33.069	476
10	0.903	46.846	7	7	111	42.309	609
11	1.181	33.412	30	6	68	39.460	568
12	1.042	36.067	78	0	88	37.585	541
13	0.695	40.400	7	7	81	28.067	404
14	0.695	32.800	19	5	88	22.787	328
15	0.834	32.000	0	0	77	26.677	384
16	0.973	40.500	5	5	108	39.391	567
17	0.764	41.000	13	13	91	31.332	451
18	1.251	37.389	10	10	102	46.755	673
19	1.042	29.867	16	0	82	31.124	448
20	0.834	35.750	59	2	91	29.804	429
21	1.181	36.353	5	5	110	42.934	618
22	1.042	26.533	40	1	59	27.650	398
23	0.834	44.667	5	5	101	37.237	536
24	1.042	30.200	2	2	84	31.471	453
25	1.042	29.667	19	2	69	30.915	445
