 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.903	18.385	7	0	58	16.604	239.000
2	1.042	19.733	26	1	52	20.564	296.000
3	0.764	21.727	6	6	44	16.604	239.000
4	0.764	17.727	23	0	43	13.547	195.000
5	1.112	15.812	7	1	36	17.577	253.000
6	0.695	24.900	4	4	45	17.299	249.000
7	1.112	20.750	13	0	52	23.065	332.000
8	0.764	22.909	8	0	52	17.507	252.000
9	0.903	23.000	6	4	65	20.772	299.000
10	0.834	29.667	15	8	58	24.732	356.000
11	0.973	23.500	7	1	67	22.856	329.000
12	0.834	17.333	7	0	39	14.450	208.000
13	0.973	22.786	10	3	66	22.162	319.000
14	0.903	23.923	12	1	58	21.606	311.000
15	0.695	26.200	4	4	64	18.202	262.000
16	0.764	22.091	2	2	49	16.882	243.000
17	0.973	21.143	3	3	55	20.564	296.000
18	1.389	22.150	1	1	62	30.776	443.000
19	0.973	18.929	29	2	38	18.410	265.000
20	0.973	22.786	0	0	50	22.162	319.000
21	0.903	18.769	17	0	43	16.951	244.000
22	0.764	27.273	9	9	49	20.842	300.000
23	0.764	24.273	13	5	48	18.549	267.000
24	0.903	25.154	39	6	61	22.718	327.000
25	1.251	20.333	11	1	55	25.427	366.000
