"firstframe","t1","t2"
1,9,10
1,11,12
1,15,16
1,17,18
3,12,21
4,3,23
4,16,19
4,18,20
5,17,24
6,24,25
7,1,19
7,15,25
8,13,22
8,15,24
8,16,25
9,9,27
10,1,29
10,19,28
11,28,29
12,27,30
13,5,7
13,9,30
13,13,33
13,33,34
14,10,31
19,13,17
20,3,36
21,13,24
21,17,39
22,10,32
23,28,41
24,21,42
30,24,45
30,28,46
31,40,47
34,24,47
34,40,44
35,44,51
35,48,50
35,50,51
38,14,40
38,14,44
38,44,57
38,46,54
38,47,53
38,48,56
38,50,56
38,51,57
39,3,52
39,54,55
40,14,58
40,40,59
40,50,57
41,44,50
42,28,61
42,49,59
43,32,58
44,3,63
44,49,60
44,52,63
45,28,66
45,40,58
45,46,61
47,46,66
48,61,62
51,47,72
51,68,71
52,18,73
52,35,73
52,52,74
53,28,77
53,46,77
53,56,76
53,68,76
54,47,78
54,56,68
54,72,78
55,18,80
55,20,80
55,70,75
55,73,80
56,32,69
56,75,77
57,20,73
57,71,79
59,18,47
59,21,82
59,50,83
60,70,77
60,72,84
60,78,84
63,50,86
65,76,86
66,21,87
66,56,86
66,69,86
70,20,88
71,47,88
72,79,89
74,18,88
75,83,92
76,46,70
77,69,78
77,90,94
78,46,98
78,83,95
79,89,96
80,65,77
80,86,94
82,83,101
82,86,95
82,92,101
83,95,101
84,94,95
85,94,101
86,69,103
87,79,99
87,89,104
87,96,104
87,98,102
89,78,94
89,89,99
90,106,108
91,69,95
92,77,108
92,77,109
92,98,105
92,108,109
93,42,103
93,77,105
93,86,111
93,95,103
93,95,111
94,98,112
95,87,99
95,103,111
95,105,112
95,106,109
96,42,89
96,42,99
96,83,114
96,92,114
97,42,87
99,52,106
99,77,106
99,89,117
99,99,117
99,103,117
100,92,118
100,92,119
101,118,119
102,77,122
102,88,121
102,89,103
103,80,114
103,87,107
104,52,77
106,118,125
106,118,126
106,119,125
107,52,122
108,103,128
109,87,128
110,122,124
111,88,129
111,94,130
111,104,132
113,88,134
113,120,132
114,133,135
115,78,135
115,87,137
115,94,135
115,125,129
118,113,136
118,125,134
118,131,138
119,87,103
0,138,138
