"traj.time","traj.degree","traj.rate"
15,2,0.133333333333333
9,0,0
46,4,0.0869565217391304
11,0,0
31,1,0.032258064516129
22,0,0
28,1,0.0357142857142857
2,0,0
17,3,0.176470588235294
30,3,0.1
4,1,0.25
17,2,0.117647058823529
21,4,0.19047619047619
40,3,0.075
8,3,0.375
10,3,0.3
20,4,0.2
76,6,0.0789473684210526
11,3,0.272727272727273
73,4,0.0547945205479452
118,4,0.0338983050847458
5,1,0.2
14,1,0.0714285714285714
30,6,0.2
5,3,0.6
4,0,0
23,2,0.0869565217391304
45,7,0.155555555555556
7,2,0.285714285714286
9,2,0.222222222222222
3,1,0.333333333333333
46,3,0.0652173913043478
3,2,0.666666666666667
3,1,0.333333333333333
39,1,0.0256410256410256
26,1,0.0384615384615385
9,0,0
3,0,0
3,1,0.333333333333333
29,5,0.172413793103448
5,1,0.2
75,5,0.0666666666666667
2,0,0
14,5,0.357142857142857
2,1,0.5
47,7,0.148936170212766
67,7,0.104477611940299
8,2,0.25
16,2,0.125
29,7,0.241379310344828
8,3,0.375
84,6,0.0714285714285714
3,1,0.333333333333333
2,2,1
2,1,0.5
33,5,0.151515151515152
4,3,0.75
12,3,0.25
4,2,0.5
5,1,0.2
9,3,0.333333333333333
5,1,0.2
5,2,0.4
13,0,0
43,1,0.0232558139534884
9,2,0.222222222222222
5,0,0
11,3,0.272727272727273
54,5,0.0925925925925926
33,3,0.0909090909090909
11,2,0.181818181818182
14,3,0.214285714285714
6,4,0.666666666666667
53,1,0.0188679245283019
5,2,0.4
22,3,0.136363636363636
54,11,0.203703703703704
66,6,0.0909090909090909
33,3,0.0909090909090909
66,4,0.0606060606060606
66,0,0
2,1,0.5
37,5,0.135135135135135
15,2,0.133333333333333
8,0,0
33,7,0.212121212121212
54,7,0.12962962962963
44,6,0.136363636363636
29,7,0.241379310344828
5,1,0.2
20,0,0
25,5,0.2
6,0,0
43,7,0.162790697674419
21,7,0.333333333333333
11,2,0.181818181818182
3,0,0
20,4,0.2
41,5,0.121951219512195
4,0,0
5,4,0.8
4,1,0.25
35,8,0.228571428571429
27,3,0.111111111111111
10,3,0.3
11,4,0.363636363636364
15,1,0.0666666666666667
3,3,1
6,3,0.5
8,0,0
4,3,0.75
2,2,1
26,1,0.0384615384615385
24,3,0.125
7,0,0
7,0,0
3,3,1
11,4,0.363636363636364
6,3,0.5
12,1,0.0833333333333333
6,1,0.166666666666667
11,3,0.272727272727273
3,0,0
14,1,0.0714285714285714
14,4,0.285714285714286
15,1,0.0666666666666667
6,0,0
5,2,0.4
10,2,0.2
3,1,0.333333333333333
10,1,0.1
3,2,0.666666666666667
9,1,0.111111111111111
8,2,0.25
4,3,0.75
6,1,0.166666666666667
6,1,0.166666666666667
2,1,0.5
