 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.042	15.000	6	0	50	15.631	225.000
2	1.389	15.000	2	1	41	20.842	300.000
3	1.251	16.333	1	1	47	20.425	294.000
4	1.112	12.312	4	0	37	13.686	197.000
5	1.389	18.550	5	5	49	25.774	371.000
6	1.251	22.389	7	7	54	27.997	403.000
7	1.667	15.958	9	0	39	26.608	383.000
8	0.973	13.286	3	2	38	12.922	186.000
9	0.903	15.923	6	3	47	14.381	207.000
10	0.834	22.167	1	1	63	18.480	266.000
11	1.042	19.733	3	3	55	20.564	296.000
12	0.973	17.429	2	0	47	16.951	244.000
13	0.834	17.417	9	0	34	14.520	209.000
14	0.834	14.667	6	6	29	12.227	176.000
15	0.903	20.000	14	2	36	18.063	260.000
16	0.834	11.167	3	2	28	9.309	134.000
17	1.112	19.000	3	3	55	21.120	304.000
18	0.903	24.538	15	12	48	22.162	319.000
19	1.112	13.750	3	3	38	15.284	220.000
20	0.903	9.077	3	2	21	8.198	118.000
21	1.181	11.412	8	1	23	13.478	194.000
22	0.556	13.875	5	5	24	7.711	111.000
23	0.486	15.429	14	5	25	7.503	108.000
24	1.251	19.611	15	3	48	24.524	353.000
25	0.486	14.857	7	7	26	7.225	104.000
