 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.112	13.375	1	1	54	14.867	214.000
2	0.834	12.417	4	0	38	10.351	149.000
3	0.973	10.857	1	1	41	10.560	152.000
4	1.042	16.800	5	2	54	17.507	252.000
5	0.834	8.583	5	0	23	7.156	103.000
6	1.112	12.312	10	3	34	13.686	197.000
7	1.042	15.000	6	3	34	15.631	225.000
8	1.459	12.905	3	2	30	18.827	271.000
9	0.973	9.929	3	0	25	9.657	139.000
10	1.320	11.737	4	0	36	15.492	223.000
11	1.320	12.474	1	1	35	16.465	237.000
12	0.834	18.167	7	7	43	15.145	218.000
13	1.251	14.722	7	2	43	18.410	265.000
14	1.181	14.118	8	1	39	16.673	240.000
15	1.320	15.000	4	1	48	19.800	285.000
16	1.251	12.444	1	1	33	15.562	224.000
17	1.181	11.588	8	2	37	13.686	197.000
18	1.251	17.889	7	4	44	22.370	322.000
19	1.389	11.350	1	0	45	15.770	227.000
20	1.320	13.158	1	0	44	17.368	250.000
21	1.251	17.944	7	2	49	22.440	323.000
22	1.181	15.706	5	0	45	18.549	267.000
23	1.181	16.882	6	0	43	19.939	287.000
24	1.181	13.353	4	0	52	15.770	227.000
25	1.251	16.833	11	2	55	21.050	303.000
