 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.112	23.000	4	1	67	25.566	368
2	1.459	26.810	11	1	121	39.113	563
3	0.834	36.500	3	3	98	30.429	438
4	0.973	41.786	3	3	99	40.641	585
5	1.042	35.067	17	1	118	36.543	526
6	1.042	26.733	2	2	83	27.858	401
7	1.181	24.294	6	2	90	28.692	413
8	1.042	27.467	3	3	73	28.623	412
9	0.834	40.750	14	5	104	33.972	489
10	1.112	26.812	17	2	74	29.804	429
11	1.042	27.933	8	1	90	29.109	419
12	0.903	26.615	7	3	85	24.038	346
13	0.903	24.538	22	2	57	22.162	319
14	1.320	23.158	6	3	52	30.568	440
15	1.320	21.000	3	1	65	27.720	399
16	1.042	22.933	12	2	66	23.899	344
17	0.973	16.643	25	0	44	16.187	233
18	0.973	19.429	8	4	50	18.897	272
19	1.042	21.133	3	2	62	22.023	317
20	1.112	23.938	56	0	56	26.608	383
21	1.112	18.875	0	0	46	20.981	302
22	1.042	21.400	4	1	51	22.301	321
23	0.764	23.000	16	1	68	17.577	253
24	1.251	15.889	1	1	55	19.869	286
25	1.737	26.880	5	2	66	46.686	672
